,MAPE,MAE,RMSE,Parameters
39,1.9836707343669058,4.807470026661586,7.611959055194351,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
40,0.9530803904119654,2.3263058484478796,3.633825610403596,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
41,1.9638917470423516,4.759991643484313,7.545965856021332,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
42,0.9879101520494056,2.4111679156616566,3.7580265790227045,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
43,1.9614244494240904,4.754124690426147,7.537598669117545,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
44,0.9799081863046306,2.3927933943563997,3.7344981831125614,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
45,1.9755160908708265,4.788228979982753,7.58755294210492,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
46,0.9582852145917307,2.3352912345433334,3.643948650477062,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
47,1.9604808102707922,4.752455406227613,7.529933513294233,"{'changepoint_prior_scale': 0.1, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
48,0.9644243058800517,2.3536109616846503,3.6645637072155846,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
49,1.970624299095151,4.773434794536517,7.560204753271002,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
50,1.012172304277698,2.4723080178168204,3.864746895209678,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
51,1.9841876744028837,4.8054668210042,7.608561849907774,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
52,0.9584424389849072,2.3383283382822664,3.6582748185436267,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
53,1.9558455531200951,4.737616509017191,7.505604887729147,"{'changepoint_prior_scale': 0.1, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
54,0.9937688221405108,2.429465612601932,3.7793293057998145,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
55,1.9509130223531252,4.724617676893659,7.489998739973735,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
56,0.9695252389924895,2.365244387540557,3.6936199200206503,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
57,1.980982732509676,4.798136065525215,7.595221899657258,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
58,0.9700348577359984,2.3654720716371496,3.692061145436238,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
59,1.9547484490610971,4.7349189966250025,7.500472261811587,"{'changepoint_prior_scale': 0.1, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
60,0.9337650695838189,2.281148629021549,3.537925003373379,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
61,1.1513379200656106,2.8034152190157697,4.498917782778515,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
62,0.9173906417753714,2.246111554370513,3.4834480057159154,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
63,1.1536673884024649,2.8071073958932025,4.516190984935646,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
64,0.9572533394701738,2.344643317144124,3.6848882927474818,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
65,1.1177362651919753,2.7247886428294175,4.370405619600039,"{'changepoint_prior_scale': 0.5, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
